scenario_id,league_nights_per_week,events_per_month,retention_utilization_uplift,membership_active_members,membership_discount_pct,cash_after_debt,dscr,required_utilization_multiplier_for_cash_break_even
S12_BASE_PLUS_PROGRAMS2,0,0,0.07,300,0.15,-11128.925234783956,0,1.1482558496493815
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,0,0.0,-16949.061862864364,0,1.2430535549457635
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,0,0.05,-16949.061862864364,0,1.2430535549457635
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,0,0.1,-16949.061862864364,0,1.2430535549457635
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,0,0.15,-16949.061862864364,0,1.2430535549457635
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,50,0.0,-16193.061862864362,0,1.2297218711192464
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,50,0.05,-16242.056728119036,0,1.2305771993404475
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,50,0.1,-16291.05159337371,0,1.231433718230188
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,50,0.15,-16340.046458628412,0,1.2322914302764243
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,150,0.0,-14681.061862864362,0,1.2038983778846128
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,150,0.05,-14828.046458628412,0,1.206361043397774
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,150,0.1,-14975.031054392462,0,1.2088338047011091
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,150,0.15,-15122.015650156512,0,1.2113167240042424
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,300,0.0,-12413.061862864362,0,1.1671345866445375
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,300,0.05,-12707.031054392462,0,1.1717726061485056
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,300,0.1,-13001.000245920563,0,1.176447634320761
S12_BASE_PLUS_PROGRAMS2,0,2,0.0,300,0.15,-13294.969437448663,0,1.181160115896783
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,0,0.0,-15319.940621944848,0,1.2146763067188844
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,0,0.05,-15319.940621944848,0,1.2146763067188844
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,0,0.1,-15319.940621944848,0,1.2146763067188844
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,0,0.15,-15319.940621944848,0,1.2146763067188844
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,50,0.0,-14563.940621944848,0,1.2019432465828979
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,50,0.05,-14612.952408458825,0,1.2027606381904967
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,50,0.1,-14661.964194972816,0,1.2035791423027302
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,50,0.15,-14710.975981486792,0,1.2043987611923939
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,150,0.0,-13051.940621944848,0,1.1772615401825806
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,150,0.05,-13198.975981486792,0,1.1796171442351768
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,150,0.1,-13346.011341028765,0,1.1819821939298154
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,150,0.15,-13493.046700570709,0,1.1843567461941817
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,300,0.0,-10783.94062194482,0,1.1420828166704098
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,300,0.05,-11078.011341028765,0,1.1465250298258007
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,300,0.1,-11372.082060112667,0,1.1510019345308018
S12_BASE_PLUS_PROGRAMS2,0,2,0.03,300,0.15,-11666.152779196584,0,1.1555139387649678
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,0,0.0,-14233.859794665163,0,1.1964671448108206
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,0,0.05,-14233.859794665163,0,1.1964671448108206
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,0,0.1,-14233.859794665163,0,1.1964671448108206
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,0,0.15,-14233.859794665163,0,1.1964671448108206
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,50,0.0,-13477.859794665163,0,1.1841110430327766
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,50,0.05,-13526.882440961888,0,1.1849045285688444
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,50,0.1,-13575.905087258629,0,1.1856990782643884
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,50,0.15,-13624.927733555354,0,1.1864946942615933
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,150,0.0,-11965.859794665163,0,1.1601489663995859
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,150,0.05,-12112.927733555354,0,1.1624370277836868
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,150,0.1,-12259.995672445575,0,1.1647341320931945
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,150,0.15,-12407.063611335796,0,1.167040333043723
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,300,0.0,-9697.859794665163,0,1.125970674079245
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,300,0.05,-9991.99567244559,0,1.1302891560906894
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,300,0.1,-10286.131550226017,0,1.1346408913459023
S12_BASE_PLUS_PROGRAMS2,0,2,0.05,300,0.15,-10580.26742800643,0,1.1390262654151042
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,0,0.0,-13147.778967385477,0,1.1787958651080899
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,0,0.05,-13147.778967385477,0,1.1787958651080899
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,0,0.1,-13147.778967385477,0,1.1787958651080899
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,0,0.15,-13147.778967385477,0,1.1787958651080899
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,50,0.0,-12391.778967385477,0,1.166800226404188
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,50,0.05,-12440.812153962446,0,1.167570839411758
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,50,0.1,-12489.845340539401,0,1.1683424709945007
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,50,0.15,-12538.878527116356,0,1.1691151231732388
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,150,0.0,-10879.778967385477,0,1.1435267585380466
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,150,0.05,-11026.878527116356,0,1.145750140594545
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,150,0.1,-11173.978086847264,0,1.1479821854270786
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,150,0.15,-11321.077646578144,0,1.150222943762534
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,300,0.0,-8611.778967385477,0,1.1103068172223631
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,300,0.05,-8905.978086847264,0,1.1145066646883717
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,300,0.1,-9200.177206309052,0,1.1187384054869782
S12_BASE_PLUS_PROGRAMS2,0,2,0.07,300,0.15,-9494.37632577084,0,1.1230024042962836
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,0,0.0,-15316.10014894435,0,1.213152467679696
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,0,0.05,-15316.10014894435,0,1.213152467679696
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,0,0.1,-15316.10014894435,0,1.213152467679696
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,0,0.15,-15316.10014894435,0,1.213152467679696
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,50,0.0,-14560.10014894435,0,1.2005215782483198
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,50,0.05,-14609.009427808856,0,1.2013307684433774
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,50,0.1,-14657.918706673363,0,1.2021410502146799
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,50,0.15,-14706.82798553787,0,1.2029524257724795
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,150,0.0,-13048.10014894435,0,1.1760327525469494
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,150,0.05,-13194.82798553787,0,1.1783653439678656
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,150,0.1,-13341.55582213139,0,1.1807072068925561
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,150,0.15,-13488.283658724924,0,1.183058396709178
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,300,0.0,-10780.10014894435,0,1.141117154678392
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,300,0.05,-11073.55582213139,0,1.1455176474278148
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,300,0.1,-11367.011495318458,0,1.1499522108248958
S12_BASE_PLUS_PROGRAMS2,0,4,0.0,300,0.15,-11660.467168505498,0,1.1544212420934188
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,0,0.0,-13686.978908024821,0,1.1862572869608552
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,0,0.05,-13686.978908024821,0,1.1862572869608552
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,0,0.1,-13686.978908024821,0,1.1862572869608552
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,0,0.15,-13686.978908024821,0,1.1862572869608552
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,50,0.0,-12930.978908024821,0,1.1741774463387067
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,50,0.05,-12979.906433613278,0,1.1749517901213256
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,50,0.1,-13028.83395920175,0,1.1757271559027658
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,50,0.15,-13077.761484790206,0,1.1765035457076531
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,150,0.0,-11418.978908024821,0,1.1507410987221902
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,150,0.05,-11565.761484790206,0,1.1529751794970735
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,150,0.1,-11712.544061555576,0,1.1552179517589578
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,150,0.15,-11859.326638320961,0,1.1574694663268505
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,300,0.0,-9150.978908024821,0,1.1172897770935952
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,300,0.05,-9444.544061555576,0,1.1215096573478698
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,300,0.1,-9738.109215086346,0,1.1257615344954413
S12_BASE_PLUS_PROGRAMS2,0,4,0.03,300,0.15,-10031.674368617087,0,1.1300457738419578
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,0,0.0,-12600.89808074515,0,1.168980025240845
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,0,0.05,-12600.89808074515,0,1.168980025240845
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,0,0.1,-12600.89808074515,0,1.168980025240845
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,0,0.15,-12600.89808074515,0,1.168980025240845
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,50,0.0,-11844.89808074515,0,1.1572477561701315
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,50,0.05,-11893.837331489287,0,1.1580001046426023
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,50,0.1,-11942.776582233439,0,1.1587534319831607
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,50,0.15,-11991.715832977576,0,1.1595077401034335
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,150,0.0,-10332.89808074515,0,1.134475809408335
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,150,0.05,-10479.715832977576,0,1.1366476425073502
S12_BASE_PLUS_PROGRAMS2,0,4,0.05,150,0.1,-10626.533585210016,0,1.138827807042285
